"ProductCode","ProductDescription","AppendNote","SupplierHandle"
"SAR-SATIN-BORDER-TOD","The Satin Border Toddler Blanket is designed for indulgent everyday comfort. Plush lush fabric is finished with a silky satin border for a classic blanket with a soothing contrast in texture. Its toddler size for naps, bedtime, and travel makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
This new Satin Border blanket is a match made in heaven! Our signature lush fabric on both sides and our custom-designed satin fabric on the border. Made from only the highest quality materials. Saranoni Luxury Blankets. Feeling is believing.

• Luxuriously Soft: 100% lush poly microfiber with silky satin border to ensure incredible softness and comfort.
• Comfort: Find emotional and physical comfort by wrapping yourself in this luxury blanket.
• Feel: Super soft, comfy, fluffy, cuddly with hearty durable construction. Feeling is Believing.
• High-quality construction: Every aspect is considered from the thread to the dye, from the factory to the family who receives this blanket.
• Size: Toddler 40"" x 60"" - Great travel blanket, perfect for ages 3 to 11.","appended","satin-border-toddler-blanket"
"SAR-STUFFED-ANIMALS","This Saranoni Stuffed Animal is made for soft, comforting cuddles with a plush texture that feels gentle in little hands. The friendly animal design makes it an easy companion for playtime, travel, and bedtime.

<!-- saranoni-supplier-copy -->
A new way to play! Designed as the perfect companions to our beloved animal rockers and chairs, or a sweet stand alone addition to play time! Made from our signature lush fabric, these cuddly, soft-limbed friends are available in Bunny, Puppy, Bear, Elephant, and Lamb. Built to grow, travel, and explore with your child.","appended","stuffed-animals"
"SAR-WFL-KNT","The Waffle Knit Throw Blanket is designed for indulgent everyday comfort. A soft waffle-knit texture adds breathable stretch and understated dimension, creating a cozy layer that does not feel overly heavy. Its throw size for sofas, chairs, and everyday lounging makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
Ever-classic waffle knit meets ground-breaking Saranoni softness to bring you breathable, touchable luxury that doubles as functional home decor! These throws are here to bring luxury to your everyday.","appended","waffle-knit-throw-blankets-1"
"SAR-WFL-KNT-MINI","Meet the newest member of Saranoni’s “big three” baby blanket fabrics! Lush and Bamboni are now joined by Waffle Knit! Buttery, breathable and densely soft with a classic waffle pattern—now perfectly sized for little hands and snug wraps!","supplier_only","waffle-knit-mini-blankets"
"SAR-WFL-KNT-QUEEN","The Waffle Knit Queen Blanket is designed for indulgent everyday comfort. A soft waffle-knit texture adds breathable stretch and understated dimension, creating a cozy layer that does not feel overly heavy. Its queen-size format for layered bedding makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
Queen Waffle Knit: Elevate your sleep routine with our Queen-sized 88.5”x96” Waffle Knit blanket. Not too big, but not too small, you can rest easy in the stretchy and breathable embrace of your queen sized waffle knit blanket! At 88.5 inches by 96 inches, this size perfectly fits for a queen bed and ensures a beautiful drape!","appended","waffle-knit-queen-blankets"
"SAR-WFL-KNT-ROBES","The Waffle Knit Robe brings Saranoni’s Waffle Knit comfort into an easy layer for slow mornings and relaxed evenings. It is designed with breathable texture and flexible comfort, creating a wearable piece that feels polished while staying exceptionally cozy.

<!-- saranoni-supplier-copy -->
The buttery, touchable luxury fabric you love, now in robe form! Our 100% polyester waffle knit robes feature a classic Kimono collar, wide adjustable waist tie, loose fitted sleeves and deep patch pockets!","appended","waffle-knit-robes"
"SAR-WFL-KNT-TOD","The Waffle Knit Toddler Blanket is designed for indulgent everyday comfort. A soft waffle-knit texture adds breathable stretch and understated dimension, creating a cozy layer that does not feel overly heavy. Its toddler size for naps, bedtime, and travel makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
Meet the newest member of Saranoni’s “big three” baby blanket fabrics! Lush and Bamboni are now joined by Waffle Knit! Buttery, breathable and densely soft with a classic waffle pattern—now perfectly sized for little hands and snug wraps!","appended","waffle-knit-toddler-blankets"
"SAR-WFL-KNT-TWIN","The Waffle Knit Twin Blanket is designed for indulgent everyday comfort. A soft waffle-knit texture adds breathable stretch and understated dimension, creating a cozy layer that does not feel overly heavy. Its twin-size format for beds and oversized lounging makes it a practical layer for relaxing, sleeping, decorating, or gifting.

<!-- saranoni-supplier-copy -->
Twin Waffle Knit:  Child-sized comfort reimagined the Saranoni way! This kid-approved bedding is crafted from stretchy, breathable waffle knit, offering your littles a luxurious take on a classic pattern. The 70”x90” dimensions provide the perfect fit for a single bed, ensuring a snug and stylish addition to any bedroom, not to mention it’s “easy-to-make” weight and fold!","appended","waffle-knit-twin-blankets"
"SAR-WIZARDIN-WORLD-CHARM","The Wizarding World™ Charm Minky/Lush Blanket combines Wizarding World™ artwork with premium Saranoni construction. One side features saranoni’s buttery-soft lush fabric while the reverse uses silky printed minky for a smooth, dual-texture finish. It adds character-inspired style while keeping the soft, comforting feel expected from Saranoni.

<!-- saranoni-supplier-copy -->
Wizarding World™ Charm - Minky/Lush: For the witch, wizard or muggle in love with the colorful charm of the wizarding world! Featuring for the first time ever, two signature luxury fabrics—Minky and Lush!","appended","wizarding-world-charm-minky-lush"
"SAR-WONDER-WOMAN-DBL-LAYER","The Wonder Woman™ Double-Layer Bamboni® Blanket combines Wonder Woman™ artwork with premium Saranoni construction. Two layers of saranoni’s light, stretchy bamboni® fabric create breathable warmth with a soft drape. It adds character-inspired style while keeping the soft, comforting feel expected from Saranoni.

<!-- saranoni-supplier-copy -->
Channel the strength and truth of Wonder Woman™ with this powerful yet oh-so-plush luxury blanket! Available in Double-Layer Bamboni®, this blanket offers the perfect blend of softness and strength for superheroes of all ages. Wash on cold with like colors, hang or lay flat to dry.","appended","wonder-woman-double-layer-bamboni"
