productcode,productname,productdescription,productweight,photourl,hideproduct
651351,Greer Upholstered Motion Reclining Sofa Taupe,"<p>A motion sofa made for effortless downtime. A drop-down center table brings order to movie night with a pop-up power hub and USB charging, while stainless steel cup holders keep drinks steady. Manual reclining seats glide back smoothly, and a wall-hugger design preserves floor space. Pocket-coil cushions topped with memory foam deliver supportive comfort, wrapped in easy-care leatherette with contrast stitching. Built on a durable mix of foam, engineered wood, and heavy gauge metal, it’s relaxation ready.</p><p><b>Dimensions:</b> 87""w x 38""d x 40""h</p><ul><li>Wall-hugger design allows full recline while conserving valuable space</li><li>Reclining sofa in taupe faux leather with contrast stitching and padded arms</li><li>Manual reclining seats provide smooth operation for everyday relaxation</li><li>Drop-down center table adds pop-up power hub with two AC and two USB ports</li><li>Two stainless steel cup holders secure beverages within easy reach</li><li>Pocket-coil seats with memory foam deliver supportive, cushioned comfort</li></ul>",198.42,/v/vspfiles/photos/coaster living room/651351-1.jpg,N
651354,Greer Upholstered Motion Reclining Sofa Brown,"<p>A motion sofa made for effortless downtime. A drop-down center table brings order to movie night with a pop-up power hub and USB charging, while stainless steel cup holders keep drinks steady. Manual reclining seats glide back smoothly, and a wall-hugger design preserves floor space. Pocket-coil cushions topped with memory foam deliver supportive comfort, wrapped in easy-care leatherette with contrast stitching. Built on a durable mix of foam, engineered wood, and heavy gauge metal, it’s relaxation ready.</p><p><b>Dimensions:</b> 87""w x 38""d x 40""h</p><ul><li>Reclining sofa in brown faux leather with contrast stitching and padded arms</li><li>Wall-hugger design provides full recline while preserving floor space</li><li>Manual reclining seats offer smooth motion for relaxed living room time</li><li>Drop-down table features pop-up power hub with two AC and two USB ports</li><li>Two stainless steel cup holders keep drinks steady during the show</li><li>Pocket-coil seats with memory foam supply supportive, cozy comfort</li></ul>",198.42,/v/vspfiles/photos/coaster living room/651354-1.jpg,N
500500,Duarto 3-tier Sofa Display Rack Black,"<p>Heavy-duty and highly adaptable, this sofa display rack is built to organize and present sofas with confidence. Its classic black finish keeps the profile clean and professional, while two height-adjustable arms help create a better fit for different display needs. Three tiers are engineered to support substantial weight, making the rack as functional as it is durable. It is a straightforward, hard-working solution for showroom display.</p><p><b>Dimensions:</b> 42.75""w x 42.25""d x 95.5""h</p><ul><li>Each tier is designed to support up to 300 pounds</li><li>Two height-adjustable arms help customize fit for sofa display</li><li>Levelers help keep the rack stable on different floor surfaces</li><li>Classic black finish blends easily into a variety of settings</li><li>Heavy-duty metal construction supports reliable showroom performance</li><li>Sofa display rack in black features a sturdy three-tier structure</li></ul>",128.08,/v/vspfiles/photos/coaster living room/500500-1.jpg,N
508681,Apperson Upholstered Track Arm Sofa Light Grey,"<p>You and your loved ones will be lounging in style on this chic, comfortable sofa. With its understated, transitional design, it blends seamlessly with the decor of any living room. Soft light grey upholstery subtly plays up its simple silhouette, while reversible seat and back cushions add easy versatility. Complete with plush feather and polyester fiber-filled cushions and matching accent pillows, this sofa takes comfort to the next level.</p><p><b>Dimensions:</b> 83.5""w x 34.25""d x 36""h</p><ul><li>Sofa features clean lines and modern track arms for a sleek tailored look</li><li>Custom metal base design supports the frame with clean modern structure</li><li>Light grey linen-like upholstery offers a soft versatile transitional presence</li><li>Four accent pillows add contrast with plaid and faux suede-inspired texture</li><li>Reversible seat and back cushions add easy maintenance and lasting comfort</li><li>Feather and polyester fiber fill creates plush supportive everyday lounging</li></ul>",118.8,/v/vspfiles/photos/coaster living room/508681-1.jpg,N
506781,Bowen Upholstered Track Arm Tufted Sofa Grey,"<p>This sofa blends timeless design with modern practicality, ideal for small spaces and contemporary homes. Its classic track arms and self-welt detailing highlight superior craftsmanship, while grid-tufted back cushions and pocket coil seating deliver supportive comfort. Upholstered in easy-to-clean performance fabric, it stands up beautifully to everyday living. Tall tapered brown legs add height and stability, completing a tailored look that pairs effortlessly with a variety of decor styles.</p><p><b>Dimensions:</b> 76""w x 32.75""d x 34.25""h</p><ul><li>Pocket coil spring construction ensures resilient cushioning and superior durability</li><li>Tall round tapered brown legs offer stability and a modern mid-century inspired look</li><li>Upholstered in easy-clean performance fabric designed for everyday family living</li><li>Perfect small-scale sofa design ideal for apartments, condos, or compact living rooms</li><li>Classic track arm silhouette with self-welt detailing enhances tailored craftsmanship</li><li>Grid-tufted boxed back cushions provide plush comfort and lasting seat support</li></ul>",84.22,/v/vspfiles/photos/coaster living room/506781-1.jpg,N
506785,Bowen Upholstered Track Arm Tufted Sofa Beige,"<p>This sofa blends timeless design with modern practicality, ideal for small spaces and contemporary homes. Its classic track arms and self-welt detailing highlight superior craftsmanship, while grid-tufted back cushions and pocket coil seating deliver supportive comfort. Upholstered in easy-to-clean performance fabric, it stands up beautifully to everyday living. Tall tapered brown legs add height and stability, completing a tailored look that pairs effortlessly with a variety of decor styles.</p><p><b>Dimensions:</b> 76""w x 32.75""d x 34.25""h</p><ul><li>Perfect small-scale sofa design ideal for apartments, condos, or compact living rooms</li><li>Classic track arm silhouette with self-welt detailing enhances tailored craftsmanship</li><li>Grid-tufted boxed back cushions provide plush comfort and lasting seat support</li><li>Pocket coil spring construction ensures resilient cushioning and superior durability</li><li>Tall round tapered brown legs offer stability and a modern mid-century inspired look</li><li>Upholstered in easy-clean performance fabric designed for everyday family living</li></ul>",84.22,/v/vspfiles/photos/coaster living room/506785-1.jpg,N
650354,Conrad Upholstered Padded Arm Motion Sofa Grey,"<p>Bring luxury and convenience to your living room with this reclining sofa upholstered in smooth grey faux leather. Designed with plush padded seating, headrests, and armrests, it ensures exceptional comfort. The drop-down centre table reveals dual cup holders, a pop-up power outlet with two AC and two USB ports, and a hidden storage drawer for added practicality. A wall-hugger mechanism saves space, while a one-inch cool gel memory foam topper enhances softness for an upgraded lounging experience.</p><p><b>Dimensions:</b> 87.5""w x 41""d x 40""h</p><ul><li>Manual reclining sofa with smooth wall-hugger space-saving design</li><li>Grey faux leather upholstery adds sleek, modern visual appeal</li><li>Drop-down centre table includes two cup holders for convenience</li><li>Pop-up power outlet with dual AC and USB ports enhances utility</li><li>Hidden storage drawer keeps remotes and accessories organised</li><li>Cool gel memory foam topper delivers long-lasting comfort</li></ul>",225.91,/v/vspfiles/photos/coaster living room/650354-1.jpg,N
609541P,Bahrain Upholstered Power Sofa Charcoal,"<p>Kick back and relax with the power recliners featured in this transitional reclining sofa. Built for indulgent comfort, it offers plush and supportive seating with tufting that adds dimension and structure. Extra-thick pillowtop arms are ideal for lounging or even a quick afternoon nap, while charcoal gray upholstery delivers a rich neutral look that complements a variety of color palettes and surrounding decor. Complete with power recline at the touch of a button for smooth, easy performance, this sofa is designed for dependable comfort and effortless relaxation.</p><p><b>Dimensions:</b> 99.25""w x 38.25""d x 39.75""h</p><ul><li>Power reclining sofa in charcoal fabric offers plush everyday relaxation</li><li>Pillowtop arms create a cozy place for lounging or afternoon naps</li><li>Neutral charcoal upholstery works beautifully in many living room settings</li><li>Power recliners operate smoothly at the touch of a button for comfort</li><li>Pocket coil seating and cool gel memory foam support lasting comfort</li><li>Tufted supportive seating adds dimension structure and inviting softness</li></ul>",201.96,/v/vspfiles/photos/coaster living room/609541P-1.jpg,N
508821,Corliss Upholstered Curved Track Arm Sofa Beige,"<p>Sofa blends sculpted curves and plush support for a refined living room anchor with a soft, inviting feel. Reversible feather blend seat and back cushions pair with pocket coil seating to balance resilience and comfort, while textured velvet upholstery enhances the tailored silhouette. Gold-finished stainless steel legs introduce a polished accent beneath the smooth profile. Use this sofa to create a lounge-ready setting where comfort, graceful lines, and elevated finishes come together with ease.</p><p><b>Dimensions:</b> 91""w x 36.5""d x 36""h</p><ul><li>Curved track arms soften the silhouette with sculptural modern elegance</li><li>Pocket coil seating and feather blend fill offer plush support and comfort</li><li>Gold-finished stainless steel legs add polished contrast beneath the frame</li><li>Accent pillows complete the sofa with added comfort and lounge appeal</li><li>Sofa in beige velvet brightens the room with plush tailored comfort</li><li>Reversible seat and back cushions help extend comfort and everyday wear</li></ul>",126.39,/v/vspfiles/photos/coaster living room/508821-1.jpg,N
508824,Corliss Upholstered Curved Track Arm Sofa Camel,"<p>Sofa blends sculpted curves and plush support for a refined living room anchor with a soft, inviting feel. Reversible feather blend seat and back cushions pair with pocket coil seating to balance resilience and comfort, while textured velvet upholstery enhances the tailored silhouette. Gold-finished stainless steel legs introduce a polished accent beneath the smooth profile. Use this sofa to create a lounge-ready setting where comfort, graceful lines, and elevated finishes come together with ease.</p><p><b>Dimensions:</b> 91""w x 36.5""d x 36""h</p><ul><li>Pocket coil seating and feather blend fill offer plush support and comfort</li><li>Sofa in camel velvet creates a warm tailored anchor for living rooms</li><li>Gold-finished stainless steel legs add polished contrast beneath the frame</li><li>Curved track arms soften the silhouette with sculptural modern elegance</li><li>Accent pillows complete the sofa with added comfort and lounge appeal</li><li>Reversible seat and back cushions help extend comfort and everyday wear</li></ul>",126.39,/v/vspfiles/photos/coaster living room/508824-1.jpg,N
504844,Brookside Velvet Upholstered Curved Sofa Dark Grey,"<p>Curved sofa brings a sculptural silhouette and layered texture to a refined living room. Sloping arms and a kidney-inspired profile create soft movement, while gold trim outlines the front with warm contrast. Dark grey velvet upholstery is paired with vertical channel tufting on the inside back and arms, while diamond quilting adds dimension to the outer surfaces. Matching accent pillows complete the tailored look and reinforce its polished lounging presence.</p><p><b>Dimensions:</b> 91.5""w x 43""d x 32""h</p><ul><li>Dark grey curved sofa features a kidney-inspired silhouette with tailored velvet upholstery</li><li>Matching accent pillows complete the sofa with coordinated softness and visual depth</li><li>Gold trim outlines the front edge and arms with warm contrast and refined definition</li><li>The sculpted profile brings polished seating presence to living rooms and dens alike</li><li>Channel tufting on the inside back and arms adds texture and vertical dimension</li><li>Diamond quilting on the outer surfaces creates layered detail from every angle</li></ul>",163.68,/v/vspfiles/photos/coaster living room/504844-1.jpg,N
603504,Lawrence Upholstered Padded Arm Reclining Sofa Charcoal,"<p>This reclining sofa blends plush comfort with supportive design for a relaxing seating experience. Upholstered in soft performance-grade microfiber, it features a padded back with subtle tufting and wide armrests for added ease. Cool gel memory foam and pocket coil cushions provide exceptional support and temperature-regulated comfort. With smooth manual reclining mechanisms on each side and a wall-hugger design that maximizes floor space, this sofa offers both functionality and inviting style for the living room.</p><p><b>Dimensions:</b> 84.75""w x 37.5""d x 39""h</p><ul><li>Reclining sofa in charcoal microfiber with padded arms and tufted back cushions</li><li>Manual reclining seats allow smooth operation and effortless relaxation</li><li>Wall-hugger mechanism keeps sofa close to wall while maximizing space</li><li>Pocket coil cushions with cool gel memory foam enhance seating comfort</li><li>Performance-grade microfiber upholstery ensures softness and durability</li><li>Contrast stitching and piping provide subtle detail and tailored finishing</li></ul>",180.78,/v/vspfiles/photos/coaster living room/603504-1.jpg,N
509131,Jade Chenille Upholstered Modern Track Arm Sofa Green,"<p>Elevate your living space with the perfect blend of style, comfort, and functionality with this modern sofa. Its sculpted round shapes and bench waterfall seat cushion create a harmonious and inviting look, enhancing any room’s aesthetic. The textured chenille fabric provides an incredibly soft touch, adding a layer of luxury and durability to this standout piece. The rich green hue is complemented by vivid yellow and neutral beige accent pillows, while thin tall metal legs add a light airy presence and modern appeal.</p><p><b>Dimensions:</b> 84""w x 38.5""d x 32""h</p><ul><li>Vivid yellow and beige accent pillows add warmth and lively contrast</li><li>Sofa features rich green chenille with a soft luxurious textured feel</li><li>Bench waterfall seat cushion delivers seamless comfort across the sofa</li><li>Thin tall metal legs give the sofa a light airy modern presence</li><li>Sculpted round shapes create a harmonious and inviting modern silhouette</li><li>Textured upholstery and plush foam create stylish everyday lounging comfort</li></ul>",133.1,/v/vspfiles/photos/coaster living room/509131-1.jpg,N
509411,Jade Chenille Upholstered Sculpted Track Arm Sofa Latte,"<p>Experience a sophisticated blend of architectural design and plush comfort with this sofa. The latte chenille upholstery provides subtle textured appeal, complemented by sculpted round arms and a matching back that mirror each other’s clean lines. Its waterfall bench seat offers a seamless look, supported by a sinuous spring seat deck and full foam cushioning for superior comfort. Reversible rust and chocolate accent pillows add warmth, while sleek tapered metal legs complete its contemporary charm.</p><p><b>Dimensions:</b> 84""w x 38.5""d x 32""h</p><ul><li>Sofa features latte chenille upholstery with a soft subtle textured appeal</li><li>Four reversible accent pillows in rust and chocolate add warmth and contrast</li><li>Sinuous spring seat deck supports lasting comfort for everyday lounging</li><li>Sculpted round track arms and matching back create architectural symmetry</li><li>Sleek tapered metal legs complete the sofa with contemporary polish</li><li>Waterfall bench seat offers a seamless look with plush full foam comfort</li></ul>",133.1,/v/vspfiles/photos/coaster living room/509411-1.jpg,N
509671,Tomkins Boucle Upholstered Sofa Light Grey,"<p>Create comfortable seating while embracing style with this well-tailored sofa. Upholstered in a textured, multidimensional light grey boucle fabric, it's perfect for adding rich texture and dimension in your living room. The sofa features sloped arms, boxed seat cushions, and tall back pillows, all finished with welt trim, offering welcome comfort and support for seating and lounging. A classic silhouette is updated with gently sloping, flared armrests and tapering block legs in a dark finish, providing a sturdy foundation and completing the look.</p><p><b>Dimensions:</b> 84""w x 38""d x 34.5""h</p><ul><li>Tapering block legs in a dark finish provide sturdy visual contrast</li><li>Boxed seat cushions and tall back pillows create inviting everyday comfort</li><li>Light grey sofa features a tailored silhouette with gently sloping arms</li><li>The versatile profile suits relaxed living rooms with polished appeal</li><li>Textured boucle upholstery adds rich dimension and a refined modern look</li><li>Welt trim sharpens the profile with clean tailored definition throughout</li></ul>",103.4,/v/vspfiles/photos/coaster living room/509671-1.jpg,N
552101,Selma Velvet Upholstered Crescent Arm Sofa Rust,"<p>Unwind in style with this chic retro-inspired sofa, designed to deliver both comfort and timeless elegance. Upholstered in a rust woven fabric, it features plush foam seat cushions and curved tufted arms for ultimate support. The fully encased engineered wood frame ensures lasting stability, while sinuous spring seating offers durable comfort. Solid wood legs in an espresso finish complete the sturdy construction, adding a sleek modern touch to this versatile seating option.</p><p><b>Dimensions:</b> 74.75""w x 35.75""d x 35""h</p><ul><li>Attached seat cushions and removable back cushions</li><li>Sinuous spring seating and foam cushion construction</li><li>Retro-inspired sofa with curved tufted arms</li><li>Rust woven fabric upholstery for a cozy, chic look</li><li>Fully encased engineered wood frame for durability</li><li>Solid wood tapered legs in espresso finish</li></ul>",81.84,/v/vspfiles/photos/coaster living room/552101-1.jpg,N
509891,Ashlyn Upholstered Sloped Arm Sofa White,"<p>Sofa blends sculpted lines and plush support for a tailored living room anchor with everyday comfort. Curved track arms soften the silhouette while reversible cushions help extend wear and maintain a neat appearance over time. Pocket coil seating and trillium blend fill create a soft yet supportive sit, paired with a sinuous spring deck and solid wood frame for dependable reinforcement. Textured upholstery and accent pillows complete this lounge-ready piece for relaxed spaces that value comfort, structure, and understated style.</p><p><b>Dimensions:</b> 89.5""w x 40""d x 37""h</p><ul><li>Sofa in white textured fabric brightens the room with tailored comfort</li><li>Reversible box cushions help extend wear and maintain a neat appearance</li><li>Sloped track arms create a soft sculpted outline for the clean silhouette</li><li>Accent pillows complete the sofa with added comfort and visual balance</li><li>Cappuccino block legs add warm contrast beneath the crisp upholstery</li><li>Pocket coil seating with trillium blend fill offers plush support and comfort</li></ul>",140,/v/vspfiles/photos/coaster living room/509891-1.jpg,N
552091,Ashlyn Fabric Upholstered Track Arm Sofa Sand,"<p>Sofa blends sculpted lines and plush support for a tailored living room anchor with everyday comfort. Curved track arms soften the silhouette while reversible cushions help extend wear and maintain a neat appearance over time. Pocket coil seating and trillium blend fill create a soft yet supportive sit, paired with a sinuous spring deck and solid wood frame for dependable reinforcement. Textured upholstery and accent pillows complete this lounge-ready piece for relaxed spaces that value comfort, structure, and understated style.</p><p><b>Dimensions:</b> 89.5""w x 40""d x 37""h</p><ul><li>Sofa in sand textured fabric creates a soft tailored living room anchor</li><li>Pocket coil seating with trillium blend fill offers soft supportive comfort</li><li>Solid wood and plywood frame adds dependable strength and stability</li><li>Curved track arms bring sculpted style to the plush inviting silhouette</li><li>Accent pillows complete the sofa with added comfort and lounge appeal</li><li>Reversible seat and back cushions help extend comfort and everyday wear</li></ul>",140,/v/vspfiles/photos/coaster living room/552091-1.jpg,N
508361,Ruth Upholstered Track Arm Sofa Black,"<p>Establish the foundation of a stylish living room with a modern sofa. Smooth faux leather creates a sleek, neutral look that brims with sophistication. Track arms create a structured silhouette, offering tailored flair with an understated ambiance. Straight, tapered legs support the sofa and ensure stability. Supportive cushions create an inviting look and feel, with sinuous spring decking under seat cushions and webbing across the back for optimal comfort.</p><p><b>Dimensions:</b> 76.5""w x 31.5""d x 33.5""h</p><ul><li>Slim track arms contribute to a clean, contemporary aesthetic</li><li>Modern three-seater sofa with sleek lines and a minimalist profile</li><li>Plush foam seat and back cushions provide lasting support and comfort</li><li>Black faux leather upholstery offers a sophisticated and refined look</li><li>Tapered wooden legs ensure stability and add a mid-century touch</li><li>Durable frame construction provides long-lasting everyday reliability</li></ul>",83.77,/v/vspfiles/photos/coaster living room/508361-1.jpg,N
508365,Ruth Upholstered Track Arm Sofa Grey,"<p>Establish the foundation of a stylish living room with a modern sofa. Smooth faux leather creates a sleek, neutral look that brims with sophistication. Track arms create a structured silhouette, offering tailored flair with an understated ambiance. Straight, tapered legs support the sofa and ensure stability. Supportive cushions create an inviting look and feel, with sinuous spring decking under seat cushions and webbing across the back for optimal comfort.</p><p><b>Dimensions:</b> 76.5""w x 31.5""d x 33.5""h</p><ul><li>Plush foam seat and back cushions provide lasting support and comfort</li><li>Grey faux leather upholstery offers a sophisticated and refined look</li><li>Tapered wooden legs ensure stability and add a mid-century touch</li><li>Slim track arms contribute to a clean, contemporary aesthetic</li><li>Modern three-seater sofa with sleek lines and a minimalist profile</li><li>Durable frame construction provides long-lasting everyday reliability</li></ul>",83.77,/v/vspfiles/photos/coaster living room/508365-1.jpg,N
511211,Ruth 77-inch Fabric Upholstered Track Arm Sofa Rust Red,"<p>Streamlined and inviting, this modern sofa blends tailored form with everyday comfort. A low profile and clean lines define its silhouette, while plush foam cushions and tight upholstery create a polished yet relaxed look. The slim track arms and angled legs add a subtle mid-century touch. Perfect for compact apartments, casual lounges, or modern living rooms, this versatile three-seater anchors any space with softness and structure.</p><p><b>Dimensions:</b> 76.5""w x 31.5""d x 33.5""h</p><ul><li>Plush back and seat cushions provide supportive comfort for everyday lounging</li><li>Slim track arms and piped edges add tailored definition to the structured frame</li><li>Sofa in rust fabric features a clean-lined silhouette with modern visual softness</li><li>Angled plastic legs create lift and offer a sturdy, contemporary foundation</li><li>Upholstered in soft fabric with smooth texture and subtle tonal variation</li><li>Versatile size fits comfortably in apartments, open layouts, or casual living rooms</li></ul>",83.77,/v/vspfiles/photos/coaster living room/511211-1.jpg,N
511214,Ruth 77-inch Fabric Upholstered Track Arm Sofa Matcha Green,"<p>Streamlined and inviting, this modern sofa blends tailored form with everyday comfort. A low profile and clean lines define its silhouette, while plush foam cushions and tight upholstery create a polished yet relaxed look. The slim track arms and angled legs add a subtle mid-century touch. Perfect for compact apartments, casual lounges, or modern living rooms, this versatile three-seater anchors any space with softness and structure.</p><p><b>Dimensions:</b> 76.5""w x 31.5""d x 33.5""h</p><ul><li>Plush back and seat cushions provide supportive comfort for everyday lounging</li><li>Slim track arms and piped edges add tailored definition to the structured frame</li><li>Sofa in matcha green fabric features a clean-lined silhouette with modern visual softness</li><li>Angled plastic legs create lift and offer a sturdy, contemporary foundation</li><li>Upholstered in soft fabric with smooth texture and subtle tonal variation</li><li>Versatile size fits comfortably in apartments, open layouts, or casual living rooms</li></ul>",83.77,/v/vspfiles/photos/coaster living room/511214-1.jpg,N
511232,Amador Chenille Upholstered Track Arm Loveseat Camel,"<p>A compact version of the same relaxed silhouette, this chenille loveseat brings broad track arms and deep loose cushions into smaller living spaces. Chenille upholstery adds soft texture across the tailored frame, while reversible seat and back cushions support everyday use. Foam and pocket coil seat cushions pair with S-spring construction for resilient comfort, and two lumbar pillows add a finished lounge-ready layer.</p><p><b>Dimensions:</b> 64""w x 38""d x 35""h</p><ul><li>Camel upholstery gives the loveseat a warm neutral look for everyday living spaces</li><li>Chenille loveseat brings broad track arms and relaxed texture to smaller rooms</li><li>Dark brown rubberwood legs ground the compact frame with understated contrast</li><li>Foam and pocket coil seat cushions work with S-spring support for casual comfort</li><li>Reversible seat and back cushions help keep the seating surface easy to refresh</li><li>Two lumbar pillows add soft support and complete the layered loveseat profile</li></ul>",106.48,/v/vspfiles/photos/coaster living room/511232-1.jpg,N
511235,Amador Chenille Upholstered Track Arm Loveseat Chocolate,"<p>A compact version of the same relaxed silhouette, this chenille loveseat brings broad track arms and deep loose cushions into smaller living spaces. Chenille upholstery adds soft texture across the tailored frame, while reversible seat and back cushions support everyday use. Foam and pocket coil seat cushions pair with S-spring construction for resilient comfort, and two lumbar pillows add a finished lounge-ready layer.</p><p><b>Dimensions:</b> 64""w x 38""d x 35""h</p><ul><li>Chenille loveseat brings broad track arms and rich texture to smaller rooms</li><li>Chocolate upholstery gives the loveseat a deep brown look for everyday living spaces</li><li>Dark brown rubberwood legs ground the compact frame with understated contrast</li><li>Foam and pocket coil seat cushions work with S-spring support for casual comfort</li><li>Reversible seat and back cushions help keep the seating surface easy to refresh</li><li>Two lumbar pillows add soft support and complete the layered loveseat profile</li></ul>",106.48,/v/vspfiles/photos/coaster living room/511235-1.jpg,N
610352P,Collins Modular Power Loveseat Chocolate Brown,"<p>Modular power loveseat keeps the room feeling close and calm, inviting you to settle in as the day quiets down. Fabric upholstery and foam cushioning sit on plywood and engineered wood construction, reinforced with metal and plastic for daily support. Black legs keep the profile grounded. Recline with power, ease into a comfortable angle, and let a smaller space feel purposeful, relaxed, and ready for the evening.</p><p><b>Dimensions:</b> 86""w x 40""d x 38""h</p><ul><li>Black legs add contrast and keep the base grounded within flexible modular layouts</li><li>Chocolate brown modular power loveseat offers reclining comfort in a space-aware profile</li><li>Corduroy upholstery in 100% polyester layers easily into contemporary room styling</li><li>Foam cushioning keeps seating supportive while the profile stays neat and modern</li><li>Plywood and engineered wood frame with metal and plastic reinforcement supports use</li><li>Power reclining adjusts smoothly to support movie nights, reading, or quiet downtime</li></ul>",241.12,/v/vspfiles/photos/coaster living room/610352P-1.jpg,N
609532P,Collins Modular Power Loveseat Dark Grey,"<p>Modular power loveseat keeps the room feeling close and calm, inviting you to settle in as the day quiets down. Fabric upholstery and foam cushioning sit on plywood and engineered wood construction, reinforced with metal and plastic for daily support. Black legs keep the profile grounded. Recline with power, ease into a comfortable angle, and let a smaller space feel purposeful, relaxed, and ready for the evening.</p><p><b>Dimensions:</b> 86""w x 40""d x 38""h</p><ul><li>Black legs add contrast and keep the base grounded within flexible modular layouts</li><li>Dark grey modular power loveseat offers reclining comfort in a space-aware seating profile</li><li>Fabric upholstery in 100% polyester coordinates easily with transitional room styling</li><li>Foam cushioning keeps seating supportive while the profile stays neat and modern</li><li>Plywood and engineered wood frame with metal and plastic reinforcement supports use</li><li>Power reclining adjusts smoothly to support movie nights, reading, or quiet downtime</li></ul>",241.12,/v/vspfiles/photos/coaster living room/609532P-1.jpg,N
609562P,Collins Modular Power Loveseat Grey,"<p>Modular power loveseat keeps the room feeling close and calm, inviting you to settle in as the day quiets down. Fabric upholstery and foam cushioning sit on plywood and engineered wood construction, reinforced with metal and plastic for daily support. Black legs keep the profile grounded. Recline with power, ease into a comfortable angle, and let a smaller space feel purposeful, relaxed, and ready for the evening.</p><p><b>Dimensions:</b> 86""w x 40""d x 38""h</p><ul><li>Black legs add contrast and keep the base grounded within flexible modular layouts</li><li>Fabric upholstery in 100% polyester coordinates easily with transitional room styling</li><li>Foam cushioning keeps seating supportive while the profile stays neat and modern</li><li>Grey modular power loveseat offers reclining comfort in a space-aware seating profile</li><li>Plywood and engineered wood frame with metal and plastic reinforcement supports use</li><li>Power reclining adjusts smoothly to support movie nights, reading, or quiet downtime</li></ul>",241.12,/v/vspfiles/photos/coaster living room/609562P-1.jpg,N
610362P,Collins Modular Power Loveseat Black,"<p>Modular power loveseat keeps the room feeling close and calm, inviting you to settle in as the day quiets down. Fabric upholstery and foam cushioning sit on plywood and engineered wood construction, reinforced with metal and plastic for daily support. Black legs keep the profile grounded. Recline with power, ease into a comfortable angle, and let a smaller space feel purposeful, relaxed, and ready for the evening.</p><p><b>Dimensions:</b> 86""w x 40""d x 38""h</p><ul><li>Black legs add contrast and keep the base grounded within flexible modular layouts</li><li>Black modular power loveseat offers reclining comfort in a space-aware seating profile</li><li>Corduroy upholstery in 100% polyester layers easily into contemporary room styling</li><li>Foam cushioning keeps seating supportive while the profile stays neat and modern</li><li>Plywood and engineered wood frame with metal and plastic reinforcement supports use</li><li>Power reclining adjusts smoothly to support movie nights, reading, or quiet downtime</li></ul>",241.12,/v/vspfiles/photos/coaster living room/610362P-1.jpg,N
603372,Hamilton Chenille Manual Reclining Loveseat Sand,"<p>Generously padded arms and segmented back cushions give this manual reclining loveseat an inviting, lounge-ready presence for shared seating areas. Chenille upholstery wraps the cushioned seating in soft texture, while the compact two-seat profile feels substantial without overpowering the room. Manual reclining footrests extend for a laid-back position, making the loveseat a comfortable choice for everyday relaxation.</p><p><b>Dimensions:</b> 50""w x 38.75""d x 39.25""h</p><ul><li>Foam cushioning and metal reclining hardware support daily living room use</li><li>Generously padded arms give the loveseat a plush and relaxed side profile</li><li>Manual reclining footrests extend for laid-back seating without power controls</li><li>Manual reclining loveseat brings padded two-seat comfort to living rooms</li><li>Sand chenille upholstery adds soft texture across the loveseat frame</li><li>Segmented back cushions create supportive comfort for shared lounging</li></ul>",120.15,/v/vspfiles/photos/coaster living room/603372-1.jpg,N
603375,Hamilton Chenille Manual Reclining Loveseat Charcoal Grey,"<p>Generously padded arms and segmented back cushions give this manual reclining loveseat an inviting, lounge-ready presence for shared seating areas. Chenille upholstery wraps the cushioned seating in soft texture, while the compact two-seat profile feels substantial without overpowering the room. Manual reclining footrests extend for a laid-back position, making the loveseat a comfortable choice for everyday relaxation.</p><p><b>Dimensions:</b> 50""w x 38.75""d x 39.25""h</p><ul><li>Charcoal grey chenille adds soft texture across the loveseat frame</li><li>Foam cushioning and metal reclining hardware support daily living room use</li><li>Generously padded arms give the loveseat a plush and relaxed side profile</li><li>Manual reclining footrests extend for laid-back seating without power controls</li><li>Manual reclining loveseat brings padded two-seat comfort to living rooms</li><li>Segmented back cushions create supportive comfort for shared lounging</li></ul>",120.15,/v/vspfiles/photos/coaster living room/603375-1.jpg,N
503062,Aleisha Fabric Upholstered Loveseat Mustard Yellow,"<p>Loveseat with rounded shelter arms and textured fabric upholstery adds cozy two-seat comfort to living rooms and dens. Vertical channel detailing across the inside back creates subtle texture while plush seat cushions encourage relaxed seating. A wood and plywood frame supports foam and polyester fiber cushioning for reliable everyday comfort, and dark brown legs provide contrast and lift beneath the warm mustard upholstery.</p><p><b>Dimensions:</b> 67""w x 35""d x 29.5""h</p><ul><li>Mustard yellow fabric loveseat features rounded shelter arms and compact seating</li><li>Channel back detail adds subtle texture and tailored contemporary style</li><li>Soft fabric upholstery covers plush cushions for inviting daily seating</li><li>Foam and polyester fiber cushioning supports comfortable two-seat lounging</li><li>Dark brown legs add contrast and elevate the upholstered silhouette</li><li>Wood and plywood frame construction ensures reliable everyday durability</li></ul>",106.7,/v/vspfiles/photos/coaster living room/503062-1.jpg,N
